state,year,month,district,type,count,amount,source_path
Andaman & Nicobar Islands,2024,2,north and middle andaman district,TOTAL,313301,676844858.0,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2024\2.json
Andaman & Nicobar Islands,2024,2,south andaman district,TOTAL,4153251,6285248054.0,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2024\2.json
Andaman & Nicobar Islands,2024,2,nicobars district,TOTAL,186672,333687418.0,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2024\2.json
Andaman & Nicobar Islands,2024,3,north and middle andaman district,TOTAL,364075,724234808.0,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2024\3.json
Andaman & Nicobar Islands,2024,3,south andaman district,TOTAL,4704639,6567147442.0,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2024\3.json
Andaman & Nicobar Islands,2024,3,nicobar district,TOTAL,210536,372462759.0,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2024\3.json
Andaman & Nicobar Islands,2024,4,north and middle andaman district,TOTAL,411230,759100984.0,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2024\4.json
Andaman & Nicobar Islands,2024,4,south andaman district,TOTAL,5419850,7760167334.0,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2024\4.json
Andaman & Nicobar Islands,2024,4,nicobar district,TOTAL,232820,401676455.0,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2024\4.json
Andhra Pradesh,2018,1,east godavari district,TOTAL,943935,1235785515.5997267,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2018\1.json
Andhra Pradesh,2018,1,srikakulam district,TOTAL,458921,587778028.9183557,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2018\1.json
Andhra Pradesh,2018,1,spsr nellore district,TOTAL,531612,676643237.8069417,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2018\1.json
Andhra Pradesh,2018,1,vizianagaram district,TOTAL,420990,505783445.78162,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2018\1.json
Andhra Pradesh,2018,1,visakhapatnam district,TOTAL,1256469,1749966196.5049946,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2018\1.json
Andhra Pradesh,2018,1,prakasam district,TOTAL,534757,748990775.8676485,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2018\1.json
Andhra Pradesh,2018,1,anantapur district,TOTAL,638664,788830646.0324218,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2018\1.json
Andhra Pradesh,2018,1,ysr district,TOTAL,487333,681481931.0936775,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2018\1.json
Andhra Pradesh,2018,1,west godavari district,TOTAL,577090,853547668.7532666,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2018\1.json
Andhra Pradesh,2018,1,kurnool district,TOTAL,679623,764905298.7350456,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andhra-pradesh\2018\1.json
